Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS
Date,,,,,,
2010-01-04,142.90322875976562,163.5,164.39999389648438,160.1999969482422,162.0,5677267
2010-01-05,153.1293182373047,175.1999969482422,179.8000030517578,164.0,165.10000610351562,32066373
2010-01-06,149.50210571289062,171.0500030517578,175.89999389648438,168.75,175.85000610351562,18459749
2010-01-07,153.08558654785156,175.14999389648438,176.75,171.89999389648438,175.14999389648438,15284125
2010-01-08,151.46865844726562,173.3000030517578,176.89999389648438,172.5,175.0,10197755
2010-01-11,150.0702362060547,171.6999969482422,176.6999969482422,170.60000610351562,174.5,11270777
2010-01-12,146.70521545410156,167.85000610351562,173.0,166.5,172.0,14443143
2010-01-13,149.58949279785156,171.14999389648438,172.1999969482422,164.3000030517578,164.9499969482422,16146039
2010-01-14,149.32730102539062,170.85000610351562,172.89999389648438,169.5,172.0,7547095
2010-01-15,145.61268615722656,166.60000610351562,171.75,165.75,171.0,4959476
2010-01-18,146.18080139160156,167.25,168.89999389648438,165.39999389648438,166.1999969482422,7243749
2010-01-19,142.46620178222656,163.0,168.9499969482422,162.0,166.0,7199947
2010-01-20,144.86978149414062,165.75,167.14999389648438,162.60000610351562,163.0,8116917
2010-01-21,142.33511352539062,162.85000610351562,165.75,161.6999969482422,165.0,12563207
2010-01-22,141.0240478515625,161.35000610351562,163.10000610351562,155.25,160.10000610351562,13929809
2010-01-25,139.14488220214844,159.1999969482422,165.6999969482422,157.25,161.10000610351562,16233827
2010-01-27,131.14755249023438,150.0500030517578,157.39999389648438,148.64999389648438,156.5,11669010
2010-01-28,129.3557891845703,148.0,156.35000610351562,145.8000030517578,150.64999389648438,10480370
2010-01-29,128.78770446777344,147.35000610351562,149.0,139.8000030517578,147.0,12497942
2010-02-01,130.5794219970703,149.39999389648438,151.5,142.1999969482422,145.0,11674392
2010-02-02,132.02159118652344,151.0500030517578,155.75,150.25,152.0,17608116
2010-02-03,136.5665283203125,156.25,157.4499969482422,152.10000610351562,152.10000610351562,8298172
2010-02-04,127.73886108398438,146.14999389648438,155.0,144.1999969482422,147.0,9673582
2010-02-05,120.74665069580078,138.14999389648438,143.4499969482422,136.3000030517578,142.39999389648438,14972307
2010-02-08,119.04228973388672,136.1999969482422,143.8000030517578,133.6999969482422,137.0,19708455
2010-02-09,117.46904754638672,134.39999389648438,138.25,133.5500030517578,137.0,18330897
2010-02-10,119.30450439453125,136.5,140.75,135.0,136.0,14882092
2010-02-11,120.83405303955078,138.25,140.35000610351562,137.0,137.25,7393889
2010-02-15,123.1065444946289,140.85000610351562,141.6999969482422,137.64999389648438,139.0,10201088
2010-02-16,127.08332824707031,145.39999389648438,146.5,139.5,141.89999389648438,8799233
2010-02-17,133.50741577148438,152.75,154.8000030517578,147.4499969482422,147.89999389648438,17420796
2010-02-18,133.37631225585938,152.60000610351562,154.8000030517578,150.3000030517578,153.39999389648438,19301034
2010-02-19,131.01646423339844,149.89999389648438,152.25,146.39999389648438,151.0,16060506
2010-02-22,134.7310791015625,154.14999389648438,156.5,151.89999389648438,151.89999389648438,13256828
2010-02-23,135.2991943359375,154.8000030517578,156.39999389648438,151.85000610351562,153.5,11954477
2010-02-24,135.47396850585938,155.0,158.39999389648438,151.89999389648438,154.0,14604618
2010-02-25,134.0318603515625,153.35000610351562,156.9499969482422,152.10000610351562,156.0,10630962
2010-02-26,142.1602783203125,162.64999389648438,164.89999389648438,153.35000610351562,154.0,22690392
2010-03-02,147.92884826660156,169.25,172.8000030517578,163.60000610351562,164.0,16002606
2010-03-03,149.85166931152344,171.4499969482422,172.64999389648438,168.64999389648438,170.0,12093085
2010-03-04,147.88511657714844,169.1999969482422,171.0,167.14999389648438,171.0,9418953
2010-03-05,146.83631896972656,168.0,172.5,167.39999389648438,169.0,8038800
2010-03-08,145.26307678222656,166.1999969482422,171.10000610351562,165.14999389648438,170.10000610351562,6279658
2010-03-09,141.67955017089844,162.10000610351562,167.8000030517578,161.5,167.8000030517578,7726110
2010-03-10,142.20396423339844,162.6999969482422,165.1999969482422,160.75,163.0,6348450
2010-03-11,139.62557983398438,159.75,162.89999389648438,158.14999389648438,162.89999389648438,8638775
2010-03-12,144.25794982910156,165.0500030517578,166.64999389648438,159.8000030517578,160.8000030517578,13238296
2010-03-15,144.78233337402344,165.64999389648438,168.0,162.60000610351562,165.0,8289897
2010-03-16,148.19105529785156,169.5500030517578,170.35000610351562,160.39999389648438,160.39999389648438,7951866
2010-03-17,151.59976196289062,173.4499969482422,174.6999969482422,169.3000030517578,169.3000030517578,11135993
2010-03-18,154.13446044921875,176.35000610351562,177.8000030517578,172.5500030517578,175.0,9317430
2010-03-19,153.4789581298828,175.60000610351562,177.89999389648438,174.3000030517578,176.60000610351562,5724048
2010-03-22,147.92884826660156,169.25,174.85000610351562,168.60000610351562,174.0,6053740
2010-03-23,148.97767639160156,170.4499969482422,171.6999969482422,168.10000610351562,170.10000610351562,5860011
2010-03-25,155.27069091796875,177.64999389648438,180.0,169.10000610351562,169.8000030517578,19185843
2010-03-26,156.14468383789062,178.64999389648438,180.4499969482422,176.5500030517578,178.0,6747907
2010-03-29,161.0392608642578,184.25,185.9499969482422,170.1999969482422,170.1999969482422,11598451
2010-03-30,160.7770233154297,183.9499969482422,186.89999389648438,183.39999389648438,184.8000030517578,8173731
2010-03-31,158.4171905517578,181.25,185.3000030517578,179.60000610351562,184.0,10320209
2010-04-01,160.60223388671875,183.75,184.6999969482422,180.60000610351562,182.0,5545989
2010-04-05,163.66131591796875,187.25,187.9499969482422,183.89999389648438,184.0,5644992
2010-04-06,161.34515380859375,184.60000610351562,188.39999389648438,183.75,187.25,4279282
2010-04-07,161.34515380859375,184.60000610351562,186.64999389648438,182.6999969482422,184.60000610351562,4052396
2010-04-08,154.2655487060547,176.5,185.0,175.64999389648438,184.6999969482422,7047391
2010-04-09,156.2758026123047,178.8000030517578,180.8000030517578,177.0,177.0,4913419
2010-04-12,157.54315185546875,180.25,193.0,179.0,180.5,5309602
2010-04-13,155.8825225830078,178.35000610351562,181.39999389648438,176.5,180.3000030517578,4145545
2010-04-15,154.48406982421875,176.75,182.25,175.8000030517578,179.1999969482422,4625447
2010-04-16,152.5175018310547,174.5,178.0,171.9499969482422,178.0,6664000
2010-04-19,155.75137329101562,178.1999969482422,178.9499969482422,170.0,173.0,12455984
2010-04-20,158.81048583984375,181.6999969482422,182.25,178.25,178.89999389648438,8587205
2010-04-21,157.1498565673828,179.8000030517578,183.64999389648438,179.39999389648438,182.5,5585171
2010-04-22,157.1061248779297,179.75,182.14999389648438,176.8000030517578,179.0,6094865
2010-04-23,155.75137329101562,178.1999969482422,180.5,177.75,179.75,4148358
2010-04-26,160.9518280029297,184.14999389648438,185.1999969482422,178.3000030517578,178.3000030517578,6101678
2010-04-27,160.60223388671875,183.75,184.8000030517578,182.14999389648438,184.0,5788376
2010-04-28,156.71279907226562,179.3000030517578,180.89999389648438,171.1999969482422,180.0,4410958
2010-04-29,157.5868377685547,180.3000030517578,181.25,178.5500030517578,180.35000610351562,3742301
2010-04-30,156.0135955810547,178.5,181.25,177.75,179.9499969482422,5092041
2010-05-03,151.16275024414062,172.9499969482422,176.6999969482422,171.39999389648438,176.0,7007902
