Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS
Date,,,,,,
2010-01-04,65.3716812133789,71.07499694824219,72.44999694824219,70.36000061035156,71.25,490880
2010-01-05,66.71221923828125,72.53250122070312,73.0999984741211,71.19999694824219,72.44999694824219,1282660
2010-01-06,67.78602600097656,73.69999694824219,74.4000015258789,73.25,73.55000305175781,1318500
2010-01-07,69.47149658203125,75.53250122070312,76.6500015258789,73.25,73.25,3218340
2010-01-08,68.8299560546875,74.83499908447266,76.25,72.82749938964844,76.25,478240
2010-01-11,68.27352142333984,74.2300033569336,76.0,73.94499969482422,76.0,406280
2010-01-12,68.09874725341797,74.04000091552734,75.24500274658203,73.69999694824219,75.24500274658203,393860
2010-01-13,67.56989288330078,73.46499633789062,74.55000305175781,73.0,74.0,525280
2010-01-14,69.77729797363281,75.86499786376953,76.24500274658203,73.8499984741211,74.2249984741211,1128620
2010-01-15,69.70143127441406,75.78250122070312,76.49500274658203,74.83000183105469,76.0,659400
2010-01-18,69.24844360351562,75.29000091552734,76.44999694824219,74.30000305175781,76.44999694824219,239180
2010-01-19,70.55220031738281,76.7074966430664,78.4000015258789,70.55000305175781,73.83000183105469,2251180
2010-01-20,71.53634643554688,77.77749633789062,79.0,76.80000305175781,77.3499984741211,2549940
2010-01-21,70.09004211425781,76.20500183105469,77.98500061035156,75.4000015258789,77.82499694824219,868240
2010-01-22,69.9313735961914,76.03250122070312,76.44499969482422,71.80000305175781,74.75,557300
2010-01-25,69.10357666015625,75.13249969482422,75.67500305175781,74.5,75.05500030517578,286860
2010-01-27,68.92424774169922,74.9375,75.69999694824219,73.68000030517578,73.68000030517578,776900
2010-01-28,70.11534118652344,76.23249816894531,76.94999694824219,72.80249786376953,73.5,1503240
2010-01-29,69.0230941772461,75.04499816894531,76.5,73.75,75.75,442140
2010-02-01,78.5701904296875,85.42500305175781,86.3499984741211,76.23750305175781,76.25,7468400
2010-02-02,76.8111572265625,83.51249694824219,87.0,82.9000015258789,85.75,3162920
2010-02-03,79.68997955322266,86.64250183105469,88.8499984741211,83.9000015258789,84.0,5937120
2010-02-04,78.28965759277344,85.12000274658203,88.75,83.8550033569336,87.4000015258789,3925660
2010-02-05,77.38140869140625,84.13249969482422,85.94999694824219,82.52249908447266,83.5,2491540
2010-02-08,78.19538116455078,85.01750183105469,86.94999694824219,83.82749938964844,85.44999694824219,2257320
2010-02-09,78.23907470703125,85.06500244140625,86.18499755859375,84.25749969482422,85.44000244140625,1655720
2010-02-10,79.26689147949219,86.18250274658203,89.0,85.44999694824219,85.44999694824219,4079920
2010-02-11,79.89002227783203,86.86000061035156,87.75,85.91500091552734,87.0199966430664,1604680
2010-02-15,78.9610824584961,85.8499984741211,87.67500305175781,85.56749725341797,86.44750213623047,692500
2010-02-16,79.44396209716797,86.375,87.0999984741211,85.6050033569336,87.0,465280
2010-02-17,82.65160369873047,89.86250305175781,90.94999694824219,86.66500091552734,86.94999694824219,4268340
2010-02-18,83.9576644897461,91.28250122070312,92.5,89.50250244140625,89.75,4171160
2010-02-19,83.30921936035156,90.57749938964844,92.3499984741211,89.75499725341797,90.0,1378220
2010-02-22,81.08110809326172,88.15499877929688,92.67749786376953,87.75,91.49500274658203,3472380
2010-02-23,80.35911560058594,87.37000274658203,88.69999694824219,86.43000030517578,87.5,3425960
2010-02-24,79.81643676757812,86.77999877929688,88.0999984741211,86.25,86.5,827180
2010-02-25,79.26229095458984,86.17749786376953,87.48500061035156,85.9000015258789,86.25,1059800
2010-02-26,80.30619812011719,87.3125,88.69999694824219,85.07749938964844,86.88999938964844,2330380
2010-03-02,82.3848648071289,89.57250213623047,90.0,88.00250244140625,88.4000015258789,1090500
2010-03-03,83.43109130859375,90.70999908447266,91.3499984741211,89.87000274658203,89.87000274658203,855440
2010-03-04,85.87533569335938,93.36750030517578,93.8949966430664,90.4000015258789,90.80000305175781,2702680
2010-03-05,84.1806869506836,91.5250015258789,95.0999984741211,91.125,94.0,2084960
2010-03-08,83.24715423583984,90.51000213623047,92.94999694824219,90.25250244140625,92.44999694824219,1724100
2010-03-09,83.44027709960938,90.72000122070312,91.74500274658203,89.60250091552734,90.5,1657220
2010-03-10,82.72059631347656,89.9375,92.0999984741211,89.60250091552734,90.05249786376953,2063540
2010-03-11,83.33451843261719,90.6050033569336,91.25,88.3499984741211,88.3499984741211,1049500
2010-03-12,82.9574203491211,90.19499969482422,91.64749908447266,89.81500244140625,90.8949966430664,1625360
2010-03-15,82.35728454589844,89.5425033569336,90.74500274658203,89.25,89.8499984741211,966780
2010-03-16,82.876953125,90.10749816894531,90.63999938964844,89.32749938964844,90.5,1477660
2010-03-17,83.12068176269531,90.37249755859375,92.4000015258789,89.86750030517578,90.25,2387720
2010-03-18,83.32762145996094,90.59750366210938,91.69999694824219,90.4000015258789,91.69999694824219,851320
2010-03-19,83.85879516601562,91.17500305175781,92.375,90.55000305175781,91.05000305175781,951000
2010-03-22,82.1963119506836,89.36750030517578,91.25,89.06749725341797,90.0,835380
2010-03-23,81.89742279052734,89.0425033569336,91.0,88.68250274658203,89.87000274658203,1219700
2010-03-25,81.64448547363281,88.76750183105469,90.39250183105469,88.29000091552734,88.8550033569336,2509980
2010-03-26,83.54606628417969,90.83499908447266,91.69000244140625,89.25,89.25,1421340
2010-03-29,84.9555892944336,92.36750030517578,92.5999984741211,90.75,91.25,1394560
2010-03-30,84.27267456054688,91.625,93.25,91.5,93.0,991840
2010-03-31,84.6451644897461,92.02999877929688,92.6500015258789,91.05000305175781,91.05000305175781,1278560
2010-04-01,86.11676788330078,93.62999725341797,93.94999694824219,91.9000015258789,92.0,1269200
2010-04-05,86.06848907470703,93.57749938964844,94.74500274658203,93.05000305175781,94.74500274658203,734200
2010-04-06,86.02708435058594,93.53250122070312,94.0,92.5999984741211,94.0,404340
2010-04-07,86.47089385986328,94.01499938964844,94.5,93.25,94.0,2080180
2010-04-08,86.75370788574219,94.32250213623047,96.08999633789062,93.51499938964844,94.23999786376953,1691820
2010-04-09,87.6297836303711,95.2750015258789,96.5,94.50250244140625,96.5,591020
2010-04-12,87.66195678710938,95.30999755859375,95.94000244140625,94.5,95.44999694824219,420920
2010-04-13,87.65047454833984,95.29750061035156,96.6500015258789,94.55000305175781,95.0999984741211,955040
2010-04-15,90.34076690673828,98.22250366210938,99.0,95.29750061035156,95.29750061035156,3088140
2010-04-16,94.5555419921875,102.80500030517578,103.43499755859375,98.00499725341797,98.5,6382880
2010-04-19,94.33250427246094,102.5625,103.9175033569336,100.76000213623047,101.15499877929688,3397980
2010-04-20,94.26124572753906,102.48500061035156,103.38999938964844,101.83000183105469,103.0,1136220
2010-04-21,94.38309478759766,102.61750030517578,103.69999694824219,101.91000366210938,102.48500061035156,711560
2010-04-22,94.17615509033203,102.39250183105469,102.75,101.26249694824219,101.76000213623047,700720
2010-04-23,94.99933624267578,103.2874984741211,104.4000015258789,101.5999984741211,101.76000213623047,1653260
2010-04-26,94.88206481933594,103.16000366210938,104.3499984741211,102.3499984741211,104.0,743600
2010-04-27,95.12580108642578,103.42500305175781,103.91000366210938,102.55000305175781,103.24500274658203,1105940
2010-04-28,94.24053192138672,102.4625015258789,103.43499755859375,101.5,102.26249694824219,1383280
2010-04-29,96.98370361328125,105.44499969482422,106.19499969482422,102.0,102.88749694824219,3456500
2010-04-30,97.9195556640625,106.4625015258789,107.9000015258789,106.08000183105469,106.30000305175781,1917880
2010-05-03,100.70182037353516,109.48750305175781,110.37000274658203,105.5,107.25,6048780
2010-05-04,98.67375946044922,107.28250122070312,109.95500183105469,106.55000305175781,109.9000015258789,1921740
2010-05-05,100.93405151367188,109.73999786376953,111.49749755859375,104.80000305175781,107.0,3246880
2010-05-06,99.8648452758789,108.57749938964844,110.4000015258789,107.5999984741211,109.9000015258789,2754300
2010-05-07,99.2876968383789,107.94999694824219,110.0999984741211,105.6500015258789,108.4000015258789,1258040
2010-05-10,100.15457916259766,108.89250183105469,110.49749755859375,107.26249694824219,108.5,1106160
2010-05-11,99.71308898925781,108.4124984741211,109.5,106.62999725341797,108.5,918040
2010-05-12,99.73606872558594,108.4375,110.22000122070312,105.0,106.18000030517578,1383560
2010-05-13,102.83104705810547,111.80249786376953,112.69999694824219,108.25,108.60749816894531,3800840
2010-05-14,104.78553771972656,113.92749786376953,114.69999694824219,112.0,112.30000305175781,2612100
2010-05-17,103.48178100585938,112.51000213623047,113.4000015258789,110.25,113.0999984741211,1076340
2010-05-18,106.02721405029297,115.27749633789062,116.36000061035156,112.8324966430664,113.5,2024540
2010-05-19,104.00374603271484,113.07749938964844,114.94499969482422,112.62750244140625,114.5,872420
2010-05-20,103.54386901855469,112.57749938964844,114.44999694824219,111.46749877929688,113.3499984741211,533480
2010-05-21,102.8563461303711,111.83000183105469,112.4000015258789,108.30249786376953,111.0,643400
2010-05-24,102.49303436279297,111.43499755859375,116.9000015258789,110.80000305175781,116.9000015258789,494020
2010-05-25,99.16352844238281,107.81500244140625,110.98249816894531,107.4000015258789,110.8499984741211,1252520
2010-05-26,97.91036224365234,106.45249938964844,109.88999938964844,105.65499877929688,109.47000122070312,1330700
